DATE,DCPF3M,IR3TCD01USM156N,TB3MS,BSBY_proxy_3M,TED_new
1996-02-01,,5.15,4.83,,
1996-03-01,,5.29,4.96,,
1996-04-01,,5.36,4.95,,
1996-05-01,,5.36,5.02,,
1996-06-01,,5.46,5.09,,
1996-07-01,,5.53,5.15,,
1996-08-01,,5.4,5.05,,
1996-09-01,,5.51,5.09,,
1996-10-01,,5.41,4.99,,
1996-11-01,,5.38,5.03,,
1996-12-01,,5.44,4.91,,
1997-01-01,,5.43,5.03,,
1997-01-02,5.35,5.43,5.03,5.385999999999999,0.355999999999999
1997-01-03,5.35,5.43,5.03,5.385999999999999,0.355999999999999
1997-01-06,5.34,5.43,5.03,5.3805,0.35049999999999937
1997-01-07,5.33,5.43,5.03,5.375,0.34499999999999975
1997-01-08,5.31,5.43,5.03,5.364,0.33399999999999963
1997-01-09,5.3,5.43,5.03,5.358499999999999,0.3284999999999991
1997-01-10,5.3,5.43,5.03,5.358499999999999,0.3284999999999991
1997-01-13,5.36,5.43,5.03,5.391500000000001,0.3615000000000004
1997-01-14,5.35,5.43,5.03,5.385999999999999,0.355999999999999
1997-01-15,5.33,5.43,5.03,5.375,0.34499999999999975
1997-01-16,5.33,5.43,5.03,5.375,0.34499999999999975
1997-01-17,5.31,5.43,5.03,5.364,0.33399999999999963
1997-01-20,5.31,5.43,5.03,5.364,0.33399999999999963
1997-01-21,5.3,5.43,5.03,5.358499999999999,0.3284999999999991
1997-01-22,5.31,5.43,5.03,5.364,0.33399999999999963
1997-01-23,5.31,5.43,5.03,5.364,0.33399999999999963
1997-01-24,5.31,5.43,5.03,5.364,0.33399999999999963
1997-01-27,5.31,5.43,5.03,5.364,0.33399999999999963
1997-01-28,5.33,5.43,5.03,5.375,0.34499999999999975
1997-01-29,5.33,5.43,5.03,5.375,0.34499999999999975
1997-01-30,5.34,5.43,5.03,5.3805,0.35049999999999937
1997-01-31,5.31,5.43,5.03,5.364,0.33399999999999963
1997-02-01,5.31,5.37,5.01,5.337,0.32699999999999996
1997-02-03,5.31,5.37,5.01,5.337,0.32699999999999996
1997-02-04,5.32,5.37,5.01,5.342500000000001,0.33250000000000135
1997-02-05,5.31,5.37,5.01,5.337,0.32699999999999996
1997-02-06,5.3,5.37,5.01,5.3315,0.32150000000000034
1997-02-07,5.31,5.37,5.01,5.337,0.32699999999999996
1997-02-10,5.29,5.37,5.01,5.3260000000000005,0.3160000000000007
1997-02-11,5.31,5.37,5.01,5.337,0.32699999999999996
1997-02-12,5.3,5.37,5.01,5.3315,0.32150000000000034
1997-02-13,5.29,5.37,5.01,5.3260000000000005,0.3160000000000007
1997-02-14,5.28,5.37,5.01,5.320500000000001,0.3105000000000011
1997-02-17,5.28,5.37,5.01,5.320500000000001,0.3105000000000011
1997-02-18,5.25,5.37,5.01,5.304,0.2940000000000005
1997-02-19,5.26,5.37,5.01,5.3095,0.2995000000000001
1997-02-20,5.24,5.37,5.01,5.298500000000001,0.28850000000000087
1997-02-21,5.24,5.37,5.01,5.298500000000001,0.28850000000000087
1997-02-24,5.24,5.37,5.01,5.298500000000001,0.28850000000000087
1997-02-25,5.25,5.37,5.01,5.304,0.2940000000000005
1997-02-26,5.24,5.37,5.01,5.298500000000001,0.28850000000000087
1997-02-27,5.28,5.37,5.01,5.320500000000001,0.3105000000000011
1997-02-28,5.32,5.37,5.01,5.342500000000001,0.33250000000000135
1997-03-01,5.32,5.53,5.14,5.4145,0.27450000000000063
1997-03-03,5.35,5.53,5.14,5.431,0.29100000000000037
1997-03-04,5.31,5.53,5.14,5.409000000000001,0.269000000000001
1997-03-05,5.34,5.53,5.14,5.4255,0.28550000000000075
1997-03-06,5.3,5.53,5.14,5.4035,0.2635000000000005
1997-03-07,5.33,5.53,5.14,5.42,0.28000000000000025
1997-03-10,5.33,5.53,5.14,5.42,0.28000000000000025
1997-03-11,5.34,5.53,5.14,5.4255,0.28550000000000075
1997-03-12,5.35,5.53,5.14,5.431,0.29100000000000037
1997-03-13,5.35,5.53,5.14,5.431,0.29100000000000037
1997-03-14,5.36,5.53,5.14,5.4365000000000006,0.2965000000000009
1997-03-17,5.37,5.53,5.14,5.442,0.3020000000000005
1997-03-18,5.37,5.53,5.14,5.442,0.3020000000000005
1997-03-19,5.37,5.53,5.14,5.442,0.3020000000000005
1997-03-20,5.43,5.53,5.14,5.475,0.33499999999999996
1997-03-21,5.44,5.53,5.14,5.480500000000001,0.34050000000000136
1997-03-24,5.51,5.53,5.14,5.519,0.37900000000000045
1997-03-25,5.55,5.53,5.14,5.541,0.4010000000000007
1997-03-26,5.56,5.53,5.14,5.5465,0.4065000000000003
1997-03-27,5.58,5.53,5.14,5.557500000000001,0.4175000000000013
1997-03-28,5.56,5.53,5.14,5.5465,0.4065000000000003
1997-03-31,5.69,5.53,5.14,5.618,0.47800000000000065
1997-04-01,5.59,5.71,5.16,5.644,0.484
1997-04-02,5.59,5.71,5.16,5.644,0.484
1997-04-03,5.59,5.71,5.16,5.644,0.484
