DATE,DCPF3M,IR3TCD01USM156N,TB3MS,BSBY_proxy_3M,TED_new
1/1/2007,,5.32,4.98,,
1/2/2007,5.24,5.32,4.98,5.28,0.3
1/3/2007,5.23,5.32,4.98,5.275,0.295
1/4/2007,5.23,5.32,4.98,5.275,0.295
1/5/2007,5.21,5.32,4.98,5.265,0.285
1/8/2007,5.23,5.32,4.98,5.275,0.295
1/9/2007,5.24,5.32,4.98,5.28,0.3
1/10/2007,5.23,5.32,4.98,5.275,0.295
1/11/2007,5.24,5.32,4.98,5.28,0.3
1/12/2007,5.24,5.32,4.98,5.28,0.3
1/15/2007,5.24,5.32,4.98,5.28,0.3
1/16/2007,5.24,5.32,4.98,5.28,0.3
1/17/2007,5.24,5.32,4.98,5.28,0.3
1/18/2007,5.24,5.32,4.98,5.28,0.3
1/19/2007,5.24,5.32,4.98,5.28,0.3
1/22/2007,5.24,5.32,4.98,5.28,0.3
1/23/2007,5.24,5.32,4.98,5.28,0.3
1/24/2007,5.24,5.32,4.98,5.28,0.3
1/25/2007,5.24,5.32,4.98,5.28,0.3
1/26/2007,5.25,5.32,4.98,5.285,0.305
1/29/2007,5.24,5.32,4.98,5.28,0.3
1/30/2007,5.24,5.32,4.98,5.28,0.3
1/31/2007,5.23,5.32,4.98,5.275,0.295
2/1/2007,5.24,5.31,5.03,5.275,0.245
2/2/2007,5.24,5.31,5.03,5.275,0.245
2/5/2007,5.21,5.31,5.03,5.26,0.23
2/6/2007,5.24,5.31,5.03,5.275,0.245
2/7/2007,5.24,5.31,5.03,5.275,0.245
2/8/2007,5.24,5.31,5.03,5.275,0.245
2/9/2007,5.24,5.31,5.03,5.275,0.245
2/12/2007,5.24,5.31,5.03,5.275,0.245
2/13/2007,5.23,5.31,5.03,5.27,0.24
2/14/2007,5.22,5.31,5.03,5.265,0.235
2/15/2007,5.23,5.31,5.03,5.27,0.24
2/16/2007,5.22,5.31,5.03,5.265,0.235
2/19/2007,5.22,5.31,5.03,5.265,0.235
2/20/2007,5.25,5.31,5.03,5.28,0.25
2/21/2007,5.24,5.31,5.03,5.275,0.245
2/22/2007,5.22,5.31,5.03,5.265,0.235
2/23/2007,5.24,5.31,5.03,5.275,0.245
2/26/2007,5.23,5.31,5.03,5.27,0.24
2/27/2007,5.21,5.31,5.03,5.26,0.23
2/28/2007,5.21,5.31,5.03,5.26,0.23
3/1/2007,5.22,5.3,4.94,5.26,0.32
3/2/2007,5.23,5.3,4.94,5.265,0.325
3/5/2007,5.19,5.3,4.94,5.245,0.305
3/6/2007,5.21,5.3,4.94,5.255,0.315
3/7/2007,5.22,5.3,4.94,5.26,0.32
3/8/2007,5.22,5.3,4.94,5.26,0.32
3/9/2007,5.22,5.3,4.94,5.26,0.32
3/12/2007,5.23,5.3,4.94,5.265,0.325
3/13/2007,5.24,5.3,4.94,5.27,0.33
3/14/2007,5.22,5.3,4.94,5.26,0.32
3/15/2007,5.24,5.3,4.94,5.27,0.33
3/16/2007,5.23,5.3,4.94,5.265,0.325
3/19/2007,5.23,5.3,4.94,5.265,0.325
3/20/2007,5.23,5.3,4.94,5.265,0.325
3/21/2007,5.22,5.3,4.94,5.26,0.32
3/22/2007,5.22,5.3,4.94,5.26,0.32
3/23/2007,5.22,5.3,4.94,5.26,0.32
3/26/2007,5.22,5.3,4.94,5.26,0.32
3/27/2007,5.22,5.3,4.94,5.26,0.32
3/28/2007,5.23,5.3,4.94,5.265,0.325
3/29/2007,5.23,5.3,4.94,5.265,0.325
3/30/2007,5.24,5.3,4.94,5.27,0.33
4/1/2007,5.24,5.31,4.87,5.275,0.405
4/2/2007,5.22,5.31,4.87,5.265,0.395
4/3/2007,5.23,5.31,4.87,5.27,0.4
4/4/2007,5.23,5.31,4.87,5.27,0.4
4/5/2007,5.22,5.31,4.87,5.265,0.395
4/6/2007,5.22,5.31,4.87,5.265,0.395
4/9/2007,5.22,5.31,4.87,5.265,0.395
4/10/2007,5.23,5.31,4.87,5.27,0.4
4/11/2007,5.23,5.31,4.87,5.27,0.4
4/12/2007,5.23,5.31,4.87,5.27,0.4
4/13/2007,5.23,5.31,4.87,5.27,0.4
4/16/2007,5.24,5.31,4.87,5.275,0.405
4/17/2007,5.23,5.31,4.87,5.27,0.4
4/18/2007,5.23,5.31,4.87,5.27,0.4
4/19/2007,5.23,5.31,4.87,5.27,0.4
4/20/2007,5.23,5.31,4.87,5.27,0.4
4/23/2007,5.23,5.31,4.87,5.27,0.4
4/24/2007,5.23,5.31,4.87,5.27,0.4
4/25/2007,5.23,5.31,4.87,5.27,0.4
4/26/2007,5.23,5.31,4.87,5.27,0.4
4/27/2007,5.22,5.31,4.87,5.265,0.395
4/30/2007,5.23,5.31,4.87,5.27,0.4
5/1/2007,5.23,5.31,4.73,5.27,0.54
5/2/2007,5.23,5.31,4.73,5.27,0.54
5/3/2007,5.24,5.31,4.73,5.275,0.545
5/4/2007,5.22,5.31,4.73,5.265,0.535
5/7/2007,5.23,5.31,4.73,5.27,0.54
5/8/2007,5.21,5.31,4.73,5.26,0.53
5/9/2007,5.23,5.31,4.73,5.27,0.54
5/10/2007,5.23,5.31,4.73,5.27,0.54
5/11/2007,5.23,5.31,4.73,5.27,0.54
5/14/2007,5.23,5.31,4.73,5.27,0.54
5/15/2007,5.23,5.31,4.73,5.27,0.54
5/16/2007,5.23,5.31,4.73,5.27,0.54
5/17/2007,5.23,5.31,4.73,5.27,0.54
5/18/2007,5.23,5.31,4.73,5.27,0.54
5/21/2007,5.24,5.31,4.73,5.275,0.545
5/22/2007,5.23,5.31,4.73,5.27,0.54
5/23/2007,5.22,5.31,4.73,5.265,0.535
5/24/2007,5.24,5.31,4.73,5.275,0.545
5/25/2007,5.23,5.31,4.73,5.27,0.54
5/28/2007,5.23,5.31,4.73,5.27,0.54
5/29/2007,5.24,5.31,4.73,5.275,0.545
5/30/2007,5.23,5.31,4.73,5.27,0.54
5/31/2007,5.23,5.31,4.73,5.27,0.54
6/1/2007,5.23,5.33,4.61,5.28,0.67
6/4/2007,5.23,5.33,4.61,5.28,0.67
6/5/2007,5.24,5.33,4.61,5.285,0.675
6/6/2007,5.23,5.33,4.61,5.28,0.67
6/7/2007,5.25,5.33,4.61,5.29,0.68
6/8/2007,5.24,5.33,4.61,5.285,0.675
6/11/2007,5.23,5.33,4.61,5.28,0.67
