DATE,DCPF3M,IR3TCD01USM156N,IR3TED01USM156N,SNDR,BAMLC1A0C13YEY,TB3MS,BSBY_proxy_3M,TED_new
4/1/2021,0.11,0.11,0.18,0.060952545,0.69,0.02,0.231595255,0.211595255
4/2/2021,0.11,0.11,0.18,0.060952545,0.69,0.02,0.231595255,0.211595255
4/5/2021,0.11,0.11,0.18,0.060952545,0.69,0.02,0.231595255,0.211595255
4/6/2021,0.11,0.11,0.18,0.060952545,0.67,0.02,0.227595255,0.207595255
4/7/2021,0.11,0.11,0.18,0.060952545,0.66,0.02,0.225595255,0.205595255
4/8/2021,0.12,0.11,0.18,0.060952545,0.66,0.02,0.229095255,0.209095255
4/9/2021,0.12,0.11,0.18,0.060952545,0.67,0.02,0.231095255,0.211095255
4/12/2021,0.12,0.11,0.18,0.060952545,0.67,0.02,0.231095255,0.211095255
4/13/2021,0.06,0.11,0.18,0.060952545,0.65,0.02,0.206095255,0.186095255
4/14/2021,0.12,0.11,0.18,0.060952545,0.65,0.02,0.227095255,0.207095255
4/15/2021,0.14,0.11,0.18,0.060952545,0.65,0.02,0.234095255,0.214095255
4/16/2021,0.14,0.11,0.18,0.060952545,0.66,0.02,0.236095255,0.216095255
4/19/2021,0.1,0.11,0.18,0.060952545,0.65,0.02,0.220095255,0.200095255
4/20/2021,0.14,0.11,0.18,0.060952545,0.65,0.02,0.234095255,0.214095255
4/21/2021,0.11,0.11,0.18,0.060952545,0.64,0.02,0.221595255,0.201595255
4/22/2021,0.12,0.11,0.18,0.060952545,0.64,0.02,0.225095255,0.205095255
4/23/2021,0.12,0.11,0.18,0.060952545,0.65,0.02,0.227095255,0.207095255
4/26/2021,0.11,0.11,0.18,0.060952545,0.65,0.02,0.223595255,0.203595255
4/27/2021,0.11,0.11,0.18,0.060952545,0.65,0.02,0.223595255,0.203595255
4/28/2021,0.04,0.11,0.18,0.060952545,0.63,0.02,0.195095255,0.175095255
4/29/2021,0.11,0.11,0.18,0.060952545,0.64,0.02,0.221595255,0.201595255
4/30/2021,0.11,0.11,0.18,0.060952545,0.65,0.02,0.223595255,0.203595255
5/1/2021,0.11,0.1,0.16,0.06,0.65,0.02,0.2185,0.1985
5/3/2021,0.12,0.1,0.16,0.06,0.64,0.02,0.22,0.2
5/4/2021,0.12,0.1,0.16,0.06,0.64,0.02,0.22,0.2
5/5/2021,0.11,0.1,0.16,0.06,0.63,0.02,0.2145,0.1945
5/6/2021,0.11,0.1,0.16,0.06,0.63,0.02,0.2145,0.1945
5/7/2021,0.15,0.1,0.16,0.06,0.61,0.02,0.2245,0.2045
5/10/2021,0.11,0.1,0.16,0.06,0.61,0.02,0.2105,0.1905
5/11/2021,0.1,0.1,0.16,0.06,0.62,0.02,0.209,0.189
