DATE,DCPF3M,IR3TCD01USM156N,IR3TED01USM156N,BAMLC1A0C13YEY,TB3MS,BSBY_proxy_3M,TED_new
4/1/2021,0.11,0.11,0.18,0.69,0.02,0.1252,0.1052
4/2/2021,0.11,0.11,0.18,0.69,0.02,0.1252,0.1052
4/5/2021,0.11,0.11,0.18,0.69,0.02,0.1252,0.1052
4/6/2021,0.11,0.11,0.18,0.67,0.02,0.125,0.105
4/7/2021,0.11,0.11,0.18,0.66,0.02,0.1249,0.1049
4/8/2021,0.12,0.11,0.18,0.66,0.02,0.1294,0.1094
4/9/2021,0.12,0.11,0.18,0.67,0.02,0.1295,0.1095
4/12/2021,0.12,0.11,0.18,0.67,0.02,0.1295,0.1095
4/13/2021,0.06,0.11,0.18,0.65,0.02,0.1023,0.0823
4/14/2021,0.12,0.11,0.18,0.65,0.02,0.1293,0.1093
4/15/2021,0.14,0.11,0.18,0.65,0.02,0.1383,0.1183
4/16/2021,0.14,0.11,0.18,0.66,0.02,0.1384,0.1184
4/19/2021,0.1,0.11,0.18,0.65,0.02,0.1203,0.1003
4/20/2021,0.14,0.11,0.18,0.65,0.02,0.1383,0.1183
4/21/2021,0.11,0.11,0.18,0.64,0.02,0.1247,0.1047
4/22/2021,0.12,0.11,0.18,0.64,0.02,0.1292,0.1092
4/23/2021,0.12,0.11,0.18,0.65,0.02,0.1293,0.1093
4/26/2021,0.11,0.11,0.18,0.65,0.02,0.1248,0.1048
4/27/2021,0.11,0.11,0.18,0.65,0.02,0.1248,0.1048
4/28/2021,0.04,0.11,0.18,0.63,0.02,0.0931,0.0731
4/29/2021,0.11,0.11,0.18,0.64,0.02,0.1247,0.1047
4/30/2021,0.11,0.11,0.18,0.65,0.02,0.1248,0.1048
5/1/2021,0.11,0.1,0.16,0.65,0.02,0.118,0.098
5/3/2021,0.12,0.1,0.16,0.64,0.02,0.1224,0.1024
5/4/2021,0.12,0.1,0.16,0.64,0.02,0.1224,0.1024
5/5/2021,0.11,0.1,0.16,0.63,0.02,0.1178,0.0978
5/6/2021,0.11,0.1,0.16,0.63,0.02,0.1178,0.0978
5/7/2021,0.15,0.1,0.16,0.61,0.02,0.1356,0.1156
5/10/2021,0.11,0.1,0.16,0.61,0.02,0.1176,0.0976
5/11/2021,0.1,0.1,0.16,0.62,0.02,0.1132,0.0932
5/12/2021,0.08,0.1,0.16,0.63,0.02,0.1043,0.0843
5/13/2021,0.09,0.1,0.16,0.62,0.02,0.1087,0.0887
5/14/2021,0.12,0.1,0.16,0.61,0.02,0.1221,0.1021
5/17/2021,0.12,0.1,0.16,0.6,0.02,0.122,0.102
5/18/2021,0.08,0.1,0.16,0.6,0.02,0.104,0.084
5/19/2021,0.09,0.1,0.16,0.61,0.02,0.1086,0.0886
5/20/2021,0.09,0.1,0.16,0.59,0.02,0.1084,0.0884
5/21/2021,0.09,0.1,0.16,0.6,0.02,0.1085,0.0885
5/24/2021,0.08,0.1,0.16,0.58,0.02,0.1038,0.0838
5/25/2021,0.08,0.1,0.16,0.57,0.02,0.1037,0.0837
5/26/2021,0.09,0.1,0.16,0.56,0.02,0.1081,0.0881
5/27/2021,0.09,0.1,0.16,0.57,0.02,0.1082,0.0882
5/28/2021,0.08,0.1,0.16,0.56,0.02,0.1036,0.0836
5/31/2021,0.08,0.1,0.16,0.58,0.02,0.1038,0.0838
6/1/2021,0.09,0.09,0.16,0.58,0.04,0.1045,0.0645
6/2/2021,0.09,0.09,0.16,0.58,0.04,0.1045,0.0645
6/3/2021,0.09,0.09,0.16,0.6,0.04,0.1047,0.0647
6/4/2021,0.09,0.09,0.16,0.59,0.04,0.1046,0.0646
6/7/2021,0.07,0.09,0.16,0.59,0.04,0.0956,0.0556
6/8/2021,0.08,0.09,0.16,0.58,0.04,0.1,0.06
6/9/2021,0.09,0.09,0.16,0.58,0.04,0.1045,0.0645
6/10/2021,0.09,0.09,0.16,0.58,0.04,0.1045,0.0645
6/11/2021,0.08,0.09,0.16,0.58,0.04,0.1,0.06
6/14/2021,0.07,0.09,0.16,0.59,0.04,0.0956,0.0556
6/15/2021,0.06,0.09,0.16,0.59,0.04,0.0911,0.0511
6/16/2021,0.07,0.09,0.16,0.63,0.04,0.096,0.056
6/17/2021,0.07,0.09,0.16,0.64,0.04,0.0961,0.0561
6/18/2021,0.07,0.09,0.16,0.68,0.04,0.0965,0.0565
6/21/2021,0.07,0.09,0.16,0.67,0.04,0.0964,0.0564
6/22/2021,0.1,0.09,0.16,0.65,0.04,0.1097,0.0697
6/23/2021,0.09,0.09,0.16,0.66,0.04,0.1053,0.0653
6/24/2021,0.12,0.09,0.16,0.67,0.04,0.1189,0.0789
6/25/2021,0.11,0.09,0.16,0.68,0.04,0.1145,0.0745
6/28/2021,0.12,0.09,0.16,0.65,0.04,0.1187,0.0787
6/29/2021,0.11,0.09,0.16,0.64,0.04,0.1141,0.0741
6/30/2021,0.1,0.09,0.16,0.66,0.04,0.1098,0.0698
7/1/2021,0.12,0.1,0.16,0.68,0.05,0.1228,0.0728
7/2/2021,0.1,0.1,0.16,0.66,0.05,0.1136,0.0636
7/5/2021,0.1,0.1,0.16,0.65,0.05,0.1135,0.0635
7/6/2021,0.11,0.1,0.16,0.63,0.05,0.1178,0.0678
7/7/2021,0.11,0.1,0.16,0.62,0.05,0.1177,0.0677
7/8/2021,0.11,0.1,0.16,0.61,0.05,0.1176,0.0676
7/9/2021,0.11,0.1,0.16,0.64,0.05,0.1179,0.0679
7/12/2021,0.11,0.1,0.16,0.64,0.05,0.1179,0.0679
7/13/2021,0.11,0.1,0.16,0.68,0.05,0.1183,0.0683
7/14/2021,0.11,0.1,0.16,0.65,0.05,0.118,0.068
7/15/2021,0.11,0.1,0.16,0.65,0.05,0.118,0.068
7/16/2021,0.08,0.1,0.16,0.65,0.05,0.1045,0.0545
7/19/2021,0.08,0.1,0.16,0.63,0.05,0.1043,0.0543
7/20/2021,0.11,0.1,0.16,0.63,0.05,0.1178,0.0678
7/21/2021,0.11,0.1,0.16,0.64,0.05,0.1179,0.0679
7/22/2021,0.11,0.1,0.16,0.64,0.05,0.1179,0.0679
7/23/2021,0.11,0.1,0.16,0.63,0.05,0.1178,0.0678
7/26/2021,0.11,0.1,0.16,0.64,0.05,0.1179,0.0679
7/27/2021,0.11,0.1,0.16,0.62,0.05,0.1177,0.0677
7/28/2021,0.09,0.1,0.16,0.63,0.05,0.1088,0.0588
7/29/2021,0.08,0.1,0.16,0.61,0.05,0.1041,0.0541
7/30/2021,0.09,0.1,0.16,0.59,0.05,0.1084,0.0584
7/31/2021,0.09,0.1,0.16,0.61,0.05,0.1086,0.0586
8/1/2021,0.09,0.1,0.16,0.61,0.05,0.1086,0.0586
8/2/2021,0.11,0.1,0.16,0.6,0.05,0.1175,0.0675
8/3/2021,0.15,0.1,0.16,0.6,0.05,0.1355,0.0855
8/4/2021,0.09,0.1,0.16,0.62,0.05,0.1087,0.0587
8/5/2021,0.09,0.1,0.16,0.64,0.05,0.1089,0.0589
8/6/2021,0.09,0.1,0.16,0.65,0.05,0.109,0.059
8/9/2021,0.11,0.1,0.16,0.65,0.05,0.118,0.068
8/10/2021,0.11,0.1,0.16,0.67,0.05,0.1182,0.0682
8/11/2021,0.11,0.1,0.16,0.66,0.05,0.1181,0.0681
8/12/2021,0.1,0.1,0.16,0.68,0.05,0.1138,0.0638
8/13/2021,0.1,0.1,0.16,0.65,0.05,0.1135,0.0635
8/16/2021,0.1,0.1,0.16,0.64,0.05,0.1134,0.0634
8/17/2021,0.1,0.1,0.16,0.65,0.05,0.1135,0.0635
8/18/2021,0.1,0.1,0.16,0.66,0.05,0.1136,0.0636
8/19/2021,0.1,0.1,0.16,0.67,0.05,0.1137,0.0637
8/20/2021,0.09,0.1,0.16,0.68,0.05,0.1093,0.0593
8/23/2021,0.09,0.1,0.16,0.66,0.05,0.1091,0.0591
8/24/2021,0.08,0.1,0.16,0.66,0.05,0.1046,0.0546
8/25/2021,0.08,0.1,0.16,0.66,0.05,0.1046,0.0546
8/26/2021,0.09,0.1,0.16,0.66,0.05,0.1091,0.0591
8/27/2021,0.09,0.1,0.16,0.63,0.05,0.1088,0.0588
8/30/2021,0.1,0.1,0.16,0.61,0.05,0.1131,0.0631
8/31/2021,0.09,0.1,0.16,0.63,0.05,0.1088,0.0588
9/1/2021,0.09,0.1,0.16,0.63,0.04,0.1088,0.0688
9/2/2021,0.1,0.1,0.16,0.64,0.04,0.1134,0.0734
9/3/2021,0.1,0.1,0.16,0.64,0.04,0.1134,0.0734
9/6/2021,0.1,0.1,0.16,0.63,0.04,0.1133,0.0733
9/7/2021,0.09,0.1,0.16,0.64,0.04,0.1089,0.0689
9/8/2021,0.09,0.1,0.16,0.64,0.04,0.1089,0.0689
9/9/2021,0.09,0.1,0.16,0.63,0.04,0.1088,0.0688
9/10/2021,0.09,0.1,0.16,0.64,0.04,0.1089,0.0689
9/13/2021,0.09,0.1,0.16,0.63,0.04,0.1088,0.0688
9/14/2021,0.08,0.1,0.16,0.62,0.04,0.1042,0.0642
9/15/2021,0.08,0.1,0.16,0.62,0.04,0.1042,0.0642
9/16/2021,0.1,0.1,0.16,0.64,0.04,0.1134,0.0734
9/17/2021,0.1,0.1,0.16,0.64,0.04,0.1134,0.0734
9/20/2021,0.1,0.1,0.16,0.63,0.04,0.1133,0.0733
9/21/2021,0.1,0.1,0.16,0.63,0.04,0.1133,0.0733
9/22/2021,0.1,0.1,0.16,0.65,0.04,0.1135,0.0735
9/23/2021,0.1,0.1,0.16,0.67,0.04,0.1137,0.0737
9/24/2021,0.09,0.1,0.16,0.68,0.04,0.1093,0.0693
9/27/2021,0.1,0.1,0.16,0.67,0.04,0.1137,0.0737
9/28/2021,0.1,0.1,0.16,0.67,0.04,0.1137,0.0737
9/29/2021,0.14,0.1,0.16,0.67,0.04,0.1317,0.0917
9/30/2021,0.1,0.1,0.16,0.7,0.04,0.114,0.074
10/1/2021,0.1,0.11,0.16,0.67,0.05,0.1175,0.0675
10/4/2021,0.1,0.11,0.16,0.68,0.05,0.1176,0.0676
10/5/2021,0.1,0.11,0.16,0.69,0.05,0.1177,0.0677
10/6/2021,0.11,0.11,0.16,0.71,0.05,0.1224,0.0724
10/7/2021,0.1,0.11,0.16,0.73,0.05,0.1181,0.0681
10/8/2021,0.1,0.11,0.16,0.75,0.05,0.1183,0.0683
10/11/2021,0.1,0.11,0.16,0.74,0.05,0.1182,0.0682
10/12/2021,0.1,0.11,0.16,0.77,0.05,0.1185,0.0685
10/13/2021,0.1,0.11,0.16,0.79,0.05,0.1187,0.0687
10/14/2021,0.12,0.11,0.16,0.77,0.05,0.1275,0.0775
10/15/2021,0.11,0.11,0.16,0.81,0.05,0.1234,0.0734
10/18/2021,0.11,0.11,0.16,0.84,0.05,0.1237,0.0737
10/19/2021,0.11,0.11,0.16,0.82,0.05,0.1235,0.0735
10/20/2021,0.11,0.11,0.16,0.81,0.05,0.1234,0.0734
10/21/2021,0.13,0.11,0.16,0.88,0.05,0.1331,0.0831
10/22/2021,0.13,0.11,0.16,0.9,0.05,0.1333,0.0833
